old	new
s__Rs-D84 sp902802115	s__Enterousia sp902802115
s__Sneathiella sp009882915	s__Sneathiella litorea
s__Emcibacter sp002380195	s__Luteithermobacter gelatinilyticus
g__Emcibacter_A	g__Paremcibacter
s__Emcibacter_A congregatus	s__Paremcibacter congregatus
s__Emcibacter_A sp002401455	s__Paremcibacter sp002401455
s__Emcibacter_A sp002401545	s__Paremcibacter sp002401545
s__Emcibacter_A sp002402225	s__Paremcibacter sp002402225
s__Emcibacter_A sp002749135	s__Paremcibacter sp002749135
s__Emcibacter_A sp011051815	s__Paremcibacter sp011051815
s__Emcibacter_A sp013152615	s__Paremcibacter sp013152615
s__Emcibacter_A sp013152755	s__Paremcibacter sp013152755
g__UBA4441	g__Pseudemcibacter
s__UBA4441 sp002390425	s__Pseudemcibacter sp002390425
g__AAP81b	g__Polymorphobacter
s__AAP81b sp001295935	s__Polymorphobacter sp001295935
s__Allosphingosinicella sp003012735	s__Allosphingosinicella deserti
s__Allosphingosinicella sp004564275	s__Allosphingosinicella parva
s__Alteraurantiacibacter sp009807005	s__Alteraurantiacibacter rhizosphaerae
g__Altererythrobacter	g__Erythrobacter
s__Altererythrobacter epoxidivorans	s__Erythrobacter epoxidivorans
s__Altererythrobacter ishigakiensis	s__Erythrobacter ishigakiensis
s__Altererythrobacter sp001515985	s__Erythrobacter sp001515985
s__Altererythrobacter sp001516125	s__Erythrobacter sp001516125
s__Altererythrobacter sp003149575	s__Erythrobacter sp003149575
s__Altererythrobacter sp003483125	s__Erythrobacter sp003483125
s__Altererythrobacter sp006226465	s__Erythrobacter sp006226465
s__Altererythrobacter sp011047315	s__Erythrobacter sp011047315
s__Altererythrobacter sp011524425	s__Erythrobacter sp011524425
s__Altererythrobacter sp013002295	s__Erythrobacter sp013002295
s__Altererythrobacter sp013371495	s__Erythrobacter lutimaris_A
s__Altererythrobacter sp013822125	s__Erythrobacter sp013822125
s__Altererythrobacter xiamenensis	s__Erythrobacter xiamenensis
s__Altericroceibacterium sp003610805	s__Altericroceibacterium spongiae
s__Altericroceibacterium xinjiangense	s__Altericroceibacterium_A xinjiangense
s__Caenibius sp001305965	s__JAGIAR01 sp001305965
s__Caenibius sp001898545	s__JAGIAR01 sp001898545
g__Chakrabartia	g__Aquisediminimonas
s__Chakrabartia godavariana	s__Aquisediminimonas godavariana
s__Chakrabartia sp002478575	s__Aquisediminimonas sp002478575
s__Chakrabartia sp009920915	s__Aquisediminimonas sp009920915
s__Chakrabartia sp009923795	s__Aquisediminimonas sp009923795
s__Chakrabartia sp903839675	s__Aquisediminimonas sp903839675
s__Chakrabartia sp903958285	s__Aquisediminimonas sp903958285
s__Croceibacterium sp011320115	s__Croceibacterium segetis
s__Croceicoccus sp001634625	s__Croceicoccus bisphenolivorans
s__Erythrobacter sp007004095	s__Erythrobacter insulae
g__Erythrobacter_A	g__Qipengyuania
s__Erythrobacter_A aquimaris	s__Qipengyuania aquimaris
s__Erythrobacter_A aureus	s__Qipengyuania aurea
s__Erythrobacter_A citreus	s__Qipengyuania citrea
s__Erythrobacter_A flavus	s__Qipengyuania flava
s__Erythrobacter_A gaetbuli	s__Qipengyuania gaetbuli
s__Erythrobacter_A mangrovi	s__Qipengyuania mangrovi
s__Erythrobacter_A marisflavi	s__Qipengyuania marisflavi
s__Erythrobacter_A nanhaisediminis	s__Qipengyuania nanhaisediminis
s__Erythrobacter_A pelagi	s__Qipengyuania pelagi
s__Erythrobacter_A seohaensis	s__Qipengyuania seohaensis
s__Erythrobacter_A sp000181515	s__Qipengyuania sp000181515
s__Erythrobacter_A sp001542855	s__Qipengyuania sp001542855
s__Erythrobacter_A sp001635685	s__Qipengyuania sp001635685
s__Erythrobacter_A sp001678665	s__Qipengyuania sp001678665
s__Erythrobacter_A sp002695185	s__Qipengyuania sp002695185
s__Erythrobacter_A sp002895025	s__Qipengyuania pacifica
s__Erythrobacter_A sp003248395	s__Qipengyuania sp003248395
s__Erythrobacter_A sp009993605	s__Qipengyuania sp009993605
s__Erythrobacter_A sp013001165	s__Qipengyuania sp013001165
s__Erythrobacter_A sp013911865	s__Qipengyuania huizhouensis
s__Erythrobacter_A vulgaris	s__Qipengyuania vulgaris
s__Erythrobacter_A vulgaris_A	s__Qipengyuania vulgaris_A
g__LB1R16	g__Glacieibacterium
s__LB1R16 sp007097155	s__Glacieibacterium frigidum
s__Novosphingobium flavum_A	s__Novosphingobium aerophilum
s__Novosphingobium sp000253255	s__Novosphingobium pentaromativorans
s__Novosphingobium sp000813185	s__Novosphingobium decolorationis
s__Novosphingobium sp003171715	s__Novosphingobium meiothermophilum
s__Novosphingobium sp009746585	s__Novosphingobium aquimarinum
s__Novosphingobium sp009856825	s__Novosphingobium silvae
s__Novosphingobium sp009909235	s__Novosphingobium ovatum
s__Novosphingobium sp012927405	s__Novosphingobium olei
s__Novosphingobium sp014200275	s__Novosphingobium sp012932495
s__Novosphingopyxis sp002683755	s__Novosphingopyxis iocasae
s__Pacificimonas flava_A	s__Pacificimonas aurantium
s__Parapontixanthobacter sp013370205	s__Actirhodobacter atriluteus
s__Parasphingopyxis sp014237875	s__Parasphingopyxis marina
s__Parasphingorhabdus sp012516475	s__Parasphingorhabdus halotolerans
s__Pelagerythrobacter sp003581645	s__Pelagerythrobacter aerophilus
s__Pelagerythrobacter sp004135625	s__Pelagerythrobacter rhizovicinus
s__Pontixanthobacter confluentis	s__Allopontixanthobacter confluentis
s__Pontixanthobacter sediminis	s__Allopontixanthobacter sediminis
s__Pontixanthobacter sp003344885	s__ZODW24 sp003344885
s__Pontixanthobacter sp012972675	s__Pontixanthobacter rizhaonensis
s__Rhizorhabdus sp004005865	s__Rhizorhabdus crocodyli
s__Rhizorhabdus sp011044255	s__Rhizorhabdus phycosphaerae
g__SALINAS58	g__Pseudopontixanthobacter
s__SALINAS58 sp012979275	s__Pseudopontixanthobacter vadosimaris
s__SALINAS58 sp013336795	s__Pseudopontixanthobacter muriae
g__Sandaracinobacter	g__Sandaracinobacteroides
s__Sandaracinobacter neustonicus	s__Sandaracinobacteroides neustonicus
s__Sandaracinobacter sp002422985	s__Sandaracinobacteroides sp002422985
s__Sandaracinobacter sp003248865	s__Sandaracinobacteroides sp003248865
s__Sandarakinorhabdus sp009733735	s__Sandarakinorhabdus oryzae
s__Sandarakinorhabdus sp010994245	s__Sandarakinorhabdus rubra
s__Sphingobium lucknowense	s__Sphingobium indicum
s__Sphingobium sp000153545	s__Sphingobium soli
s__Sphingobium sp002457415	s__Sphingobium naphthae
s__Sphingobium sp003591655	s__Sphingobium terrigena
s__Sphingobium sp012927105	s__Sphingobium psychrophilum
s__Sphingobium sp013822485	s__Sphingobium bisphenolicum
s__Sphingobium_A sp003590775	s__Sphingobium_A cavernae
s__Sphingomicrobium daechungensis	s__Sphingomicrobium daechungense
s__Sphingomicrobium kaistensis	s__Sphingomicrobium kaistense
s__Sphingomicrobium lutea	s__Sphingomicrobium luteum
s__Sphingomicrobium rhizophila	s__Sphingomicrobium rhizophilum
s__Sphingomicrobium sp003499275	s__Sphingomicrobium mesophilum
s__Sphingomicrobium sp003970925	s__Sphingomicrobium ginkgonis
s__Sphingomicrobium sp007998985	s__Sphingomicrobium xanthum
s__Sphingomicrobium sp009720245	s__Sphingomicrobium segetis
s__Sphingomicrobium sp011300455	s__Sphingomicrobium piscis
s__Sphingomicrobium sp011302055	s__Sphingomicrobium sinipercae
s__Sphingomicrobium sp014352855	s__Sphingomicrobium sabuli
s__Sphingomonas elodea_A	s__Sphingomonas elodea
s__Sphingomonas sp001897045	s__Sphingomonas sp017849555
s__Sphingomonas sp002796605	s__Sphingomonas psychrotolerans
s__Sphingomonas sp003345355	s__Sphingomonas aracearum
s__Sphingomonas sp007833215	s__Sphingomonas suaedae
s__Sphingomonas sp007859635	s__Sphingomonas panacisoli
s__Sphingomonas sp011057975	s__Sphingomonas tenebrarum
s__Sphingomonas sp012035195	s__Sphingomonas corticis
s__Sphingomonas sp014358075	s__Sphingomonas albertensis
s__Sphingomonas sp900109565	s__Sphingomonas palmae
s__Sphingomonas sp900110035	s__Sphingomonas gellani
s__Sphingomonas_B sp009913435	s__Sphingomonas_B changnyeongensis
s__Sphingomonas_B sp013778485	s__Sphingomonas_B horti
s__Sphingomonas_G sp009739515	s__Sphingomonas_G profundi
s__Sphingomonas_L sp004796535	s__Sphingomonas_L flavalba
s__Sphingomonas_N sp013778325	s__Sphingomonas_N chungangi
s__Sphingopyxis sp002841175	s__Sphingopyxis solisilvae
s__Sphingopyxis sp012979535	s__Sphingopyxis lacunae
s__Sphingorhabdus_B sp001889025	s__Sphingorhabdus_B lutea
s__Sphingorhabdus_B sp003367235	s__Sphingorhabdus_B pulchriflava
s__Tsuneonella sp003605755	s__Tsuneonella suprasediminis
s__Tsuneonella sp003626915	s__Tsuneonella amylolytica
g__UBA1936	g__Sphingomonas_O
s__UBA1936 sp002336985	s__Sphingomonas_O sp002336985
s__UBA1936 sp003660165	s__Sphingomonas_O paeninsulae
s__UBA1936 sp013821585	s__Sphingomonas_O sp013821585
g__UBA6174	g__Aquisediminimonas_A
s__UBA6174 sp002422945	s__Aquisediminimonas_A sp002422945
s__UBA6174 sp903821605	s__Aquisediminimonas_A sp903821605
s__ZODW24 sp003340475	s__Alteripontixanthobacter maritimus
g__GCA-2684605	g__TMED109
s__GCA-2684605 sp002684605	s__TMED109 sp002684605
f__Nisaeaceae	f__Thalassobaculaceae
f__TMED26	f__Thalassobaculaceae
g__GCA-2727315	g__UBA8079
s__GCA-2727315 sp002727315	s__UBA8079 sp002727315
g__NAT5454	g__UBA6615
s__NAT5454 sp002713365	s__UBA6615 sp002713365
g__MarineAlpha9-Bin7	g__GCA-2712985
s__MarineAlpha9-Bin7 sp002937585	s__GCA-2712985 sp002937585
s__MarineAlpha9-Bin7 sp002938115	s__GCA-2712985 sp002938115
g__GCA-2717225	g__PTKB01
s__GCA-2717225 sp002717225	s__PTKB01 sp002717225
g__GCA-2696645	g__Pacificispira
s__GCA-2696645 sp002696645	s__Pacificispira sp002696645
s__GCA-2696645 sp002709955	s__Pacificispira sp002709955
s__GCA-2696645 sp012926505	s__Pacificispira spongiicola
g__RKSG073	g__Curvivirga
s__RKSG073 sp009711445	s__Curvivirga aplysinae
s__UBA9655 sp013287665	s__JABDDK01 sp013287665
s__UBA9655 sp013815465	s__JACDGE01 sp013815465
s__Zavarzinia compransoris_A	s__Zavarzinia aquatilis
s__Zavarzinia sp003590945	s__Zavarzinia cavernae
s__Acidithiobacillus ferrooxidans_A	s__Acidithiobacillus ferriphilus
s__Acidithiobacillus sulfuriphilus	s__Acidithiobacillus_B sulfuriphilus
s__Acidithiobacillus_A sp002341825	s__UBA2486 sp002341825
g__GCA-2726415	g__UBA868
s__GCA-2726415 sp002726415	s__UBA868 sp002726415
s__GCA-2726415 sp014239255	s__UBA868 sp014239255
s__GCA-2726415 sp014239575	s__UBA868 sp014239575
s__UBA11791 sp012965245	s__UBA11791 sp002714255
g__Thioflexothrix	g__Thioflexithrix
s__Thioflexothrix psekupsii	s__Thioflexithrix psekupsensis
g__2013Ark19i	g__Ichthyocystis
s__2013Ark19i sp001460935	s__Ichthyocystis hellenicum
s__2013Ark19i sp900078745	s__Ichthyocystis sparus
s__Acidovorax sp001411535	s__Acidovorax facilis
s__Acidovorax sp003053545	s__Acidovorax sp000276605
s__Acidovorax_A avenae_A	s__Acidovorax_A avenae
s__Acidovorax_A avenae_B	s__Acidovorax_A avenae
s__Acidovorax_A avenae_C	s__Acidovorax_A avenae
s__Advenella sp012923605	s__Advenella alkanexedens
s__Alcaligenes faecalis_C	s__Alcaligenes ammonioxydans
s__Aquabacterium sp003933735	s__Aquabacterium soli
s__Aquabacterium sp004310865	s__Aquabacterium lacunae
s__Aquabacterium_A sp000244995	s__AHLZ01 sp000244995
s__Aquabacterium_A sp008933545	s__JAEUPI01 sp008933545
s__Aquabacterium_A sp013266755	s__Aquabacterium_A terrae
s__Aquincola tertiaricarbonis	s__Aquincola tertiaricarbonis_A
s__Azohydromonas sp009760915	s__Azohydromonas aeria
s__Azohydromonas sp012927045	s__Azohydromonas caseinilytica
g__BIGb0124	g__Comamonas_F
s__BIGb0124 sp003752175	s__Comamonas_F sp003752175
s__BIGb0124 wautersii_A	s__Comamonas_F wautersii_A
s__Bordetella_B ansorpii_B	s__Bordetella_B ansorpii_C
s__Burkholderia cenocepacia_B	s__Burkholderia orbicola
s__Burkholderia cepacia_E	s__Burkholderia aenigmatica
s__Burkholderia mesoacidophila	s__Burkholderia mesacidophila
s__Burkholderia sp001524625	s__Burkholderia savannae
s__Burkholderia sp013403875	s__Burkholderia guangdongensis
g__CAG-521	g__Aphodousia
s__CAG-521 sp000437635	s__Aphodousia secunda_B
s__CAG-521 sp002329575	s__Aphodousia sp002329575
s__CAG-521 sp003543795	s__Aphodousia sp003543795
s__CAG-521 sp900544345	s__Aphodousia sp900544345
s__CAG-521 sp900545335	s__Aphodousia sp900545335
s__CAG-521 sp900546995	s__Aphodousia sp900546995
s__CAG-521 sp900553105	s__Aphodousia sp900553105
s__CAG-521 sp900554675	s__Aphodousia sp900554675
s__CAG-521 sp902388655	s__Aphodousia sp902388655
g__CAINMN01	g__Limnohabitans
s__CAINMN01 sp005789825	s__Limnohabitans sp005789825
s__CAINMN01 sp009693225	s__Limnohabitans sp009693225
s__CAINMN01 sp009693305	s__Limnohabitans sp009693305
s__CAINMN01 sp009919175	s__Limnohabitans sp009919175
s__CAINMN01 sp009921265	s__Limnohabitans sp009921265
s__CAINMN01 sp009921465	s__Limnohabitans sp009921465
s__CAINMN01 sp009923505	s__Limnohabitans sp009923505
s__CAINMN01 sp009925585	s__Limnohabitans sp009925585
s__CAINMN01 sp009927195	s__Limnohabitans sp009927195
s__CAINMN01 sp009927495	s__Limnohabitans sp009927495
s__CAINMN01 sp013205525	s__Limnohabitans sp013205525
s__CAINMN01 sp903828695	s__Limnohabitans sp903828695
s__CAINMN01 sp903830725	s__Limnohabitans sp903830725
s__CAINMN01 sp903831655	s__Limnohabitans sp903831655
s__CAINMN01 sp903838355	s__Limnohabitans sp903838355
s__CAINMN01 sp903842945	s__Limnohabitans sp903842945
s__CAINMN01 sp903844385	s__Limnohabitans sp903844385
s__CAINMN01 sp903850735	s__Limnohabitans sp903850735
s__CAINMN01 sp903861115	s__Limnohabitans sp903861115
s__CAINMN01 sp903864315	s__Limnohabitans sp903864315
s__CAINMN01 sp903865035	s__Limnohabitans sp903865035
s__CAINMN01 sp903871545	s__Limnohabitans sp903871545
s__CAINMN01 sp903876885	s__Limnohabitans sp903876885
s__CAINMN01 sp903887325	s__Limnohabitans sp903887325
s__CAINMN01 sp903887655	s__Limnohabitans sp903887655
s__CAINMN01 sp903896615	s__Limnohabitans sp903896615
s__CAINMN01 sp903910745	s__Limnohabitans sp903910745
s__CAINMN01 sp903933115	s__Limnohabitans sp903933115
s__CAINMN01 sp903949285	s__Limnohabitans sp903949285
s__CAINMN01 sp903956845	s__Limnohabitans sp903956845
s__Comamonas odontotermitis	s__Comamonas odontotermitis_A
s__Comamonas sp012844455	s__Comamonas suwonensis
s__Comamonas sp013363755	s__Comamonas antarctica
s__Comamonas_C sp002894305	s__PGEI01 sp002894305
s__Cupriavidus gilardii_B	s__Cupriavidus cauae
s__Cupriavidus sp004217045	s__Cupriavidus agavae
s__Duganella pernnla	s__Duganella margarita
s__Duganella rivus	s__Duganella aquatilis
s__Duganella sp000335815	s__Duganella rivuli
s__Duganella sp003217375	s__Duganella dendranthematis
s__Duganella sp003416985	s__Duganella vulcania
s__Duganella sp004614165	s__Duganella callida
s__Duganella sp009380215	s__Duganella aquatica
s__Duganella sp009674535	s__Duganella guangzhouensis
s__Duganella sp009857445	s__Duganella flavida
s__Duganella sp009857495	s__Duganella lactea
s__Duganella sp011090165	s__Duganella aceris
s__Duodenibacillus sp003472385	s__Duodenibacillus intestinigallinarum
s__Duodenibacillus sp900538905	s__Duodenibacillus intestinavium
s__Glaciimonas sp009497155	s__Glaciimonas soli
s__Herminiimonas sp903993245	s__Herminiimonas contaminans
s__Hydrogenophaga sp003509765	s__Hydrogenophaga aromaticivorans
s__Ideonella sp010499455	s__Ideonella livida
g__JACCEO01	g__JAGOAJ01
s__JACCEO01 sp013416485	s__JAGOAJ01 sp013416485
s__JACMQX01 sp013297875	s__JAAFIW01 sp013297875
s__Janthinobacterium svalbardensis	s__Janthinobacterium tructae
g__KS-M25	g__Achromobacter_A
s__KS-M25 sp009866805	s__Achromobacter_A aestuarii
s__Lampropedia sp002285285	s__Lampropedia animalimorsus
s__Lampropedia sp003703475	s__Lampropedia schreckenbergeri
s__Limnobacter sp005871185	s__Limnobacter alexandrii
g__Massilia	g__Telluria
s__Massilia alkalitolerans	s__Telluria alkalitolerans
s__Massilia aquatica_A	s__Telluria aquatica
s__Massilia arenosa	s__Telluria arenosa
s__Massilia aurea_A	s__Telluria arenae
s__Massilia aurea_B	s__Telluria aurea_B
s__Massilia eurypsychrophila	s__Telluria eurypsychrophila
s__Massilia frigida	s__Telluria frigida
s__Massilia glaciei	s__Telluria glaciei
s__Massilia mucilaginosa	s__Telluria mucilaginosa
s__Massilia niastensis	s__Telluria niastensis
s__Massilia oculi	s__Telluria oculi
s__Massilia phosphatilytica	s__Telluria phosphatilytica
s__Massilia psychrophila	s__Telluria psychrophila
s__Massilia putida	s__Telluria putida
s__Massilia rubra	s__Telluria rubra
s__Massilia sp000740675	s__Telluria sp000740675
s__Massilia sp000745265	s__Telluria sp000745265
s__Massilia sp000759615	s__Telluria kyonggiensis
s__Massilia sp001412595	s__Telluria sp001412595
s__Massilia sp001424165	s__Telluria sp001424165
s__Massilia sp001425685	s__Telluria sp001425685
s__Massilia sp001426525	s__Telluria sp001426525
s__Massilia sp001485665	s__Telluria antarctica
s__Massilia sp002007115	s__Telluria sp002007115
s__Massilia sp002339265	s__Telluria sp002339265
s__Massilia sp002354135	s__Telluria sp002354135
s__Massilia sp002428015	s__Telluria sp002428015
s__Massilia sp003484545	s__Telluria sp003484545
s__Massilia sp003520365	s__Telluria sp003520365
s__Massilia sp003590855	s__Telluria cavernae
s__Massilia sp003953935	s__Telluria atriviolacea
s__Massilia sp004614195	s__Telluria horti
s__Massilia sp004798585	s__Telluria sp004798585
s__Massilia sp005222695	s__Telluria sp005222695
s__Massilia sp006715485	s__Telluria sp006715485
s__Massilia sp011682055	s__Telluria sp011682055
s__Massilia sp012849555	s__Telluria forsythiae
s__Massilia sp012927275	s__Telluria polaris
s__Massilia sp013003915	s__Telluria aromaticivorans
s__Massilia sp014171595	s__Telluria sp014171595
s__Massilia sp900101265	s__Telluria sp900101265
s__Massilia sp900129765	s__Telluria sp900129765
s__Massilia sp902506415	s__Telluria sp902506415
s__Massilia timonae	s__Telluria timonae
s__Massilia violaceinigra	s__Telluria violaceinigra
s__Massilia yuzhufengensis	s__Telluria yuzhufengensis
s__Mitsuaria sp002761755	s__Mitsuaria chitinivorans
g__NBD-18	g__Zwartia
s__NBD-18 sp002292845	s__Zwartia sp002292845
s__NBD-18 sp002737415	s__Zwartia sp002737415
s__NBD-18 sp003003055	s__Jezberella montanilacus
s__NBD-18 sp003507735	s__Sheuella amnicola
s__NBD-18 sp013205565	s__Zwartia sp013205565
s__NBD-18 sp903821335	s__CAIJKV01 sp903821335
s__NBD-18 sp903847325	s__Sheuella sp903847325
s__NBD-18 sp903865015	s__Sheuella sp903865015
s__NBD-18 sp903894155	s__CAITPF01 sp903894155
s__NBD-18 sp903903735	s__Zwartia sp903903735
s__NBD-18 sp903924715	s__Zwartia sp903924715
s__NBD-18 sp903929925	s__Zwartia sp903929925
s__NBD-18 sp903932425	s__Zwartia sp903932425
s__NBD-18 sp903958565	s__Zwartia sp903958565
s__Noviherbaspirillum humi	s__Noviherbaspirillum_C humi
s__Noviherbaspirillum massiliense	s__Noviherbaspirillum_C massiliense
s__Noviherbaspirillum sp003590875	s__Noviherbaspirillum_B cavernae
s__Noviherbaspirillum sp003591035	s__Noviherbaspirillum saxi
s__Noviherbaspirillum sp008929045	s__Noviherbaspirillum aerium
s__Noviherbaspirillum sp010974945	s__Noviherbaspirillum galbum
g__PNNH01	g__JACDQM01
s__PNNH01 sp013824165	s__JACDQM01 sp013824165
s__Paraburkholderia acidophila	s__Paraburkholderia acidicola
s__Paraburkholderia sp000092885	s__Paraburkholderia atlantica
s__Paraburkholderia sp000148685	s__Paraburkholderia phenoliruptrix_A
s__Paraburkholderia sp000178415	s__Paraburkholderia dioscoreae
s__Paraburkholderia sp003837865	s__Paraburkholderia dinghuensis
s__Paraburkholderia sp004353915	s__Paraburkholderia silviterrae
s__Paraburkholderia sp004359985	s__Paraburkholderia flava
s__Paraburkholderia sp008369935	s__Paraburkholderia panacisoli
s__Paraburkholderia sp009362735	s__Paraburkholderia franconis
s__Paraburkholderia sp009789655	s__Paraburkholderia acidiphila
s__Paraburkholderia sp009789675	s__Paraburkholderia acidisoli
s__Paraburkholderia sp012927125	s__Paraburkholderia antibiotica
s__Paraburkholderia sp012927345	s__Paraburkholderia polaris
s__Paraburkholderia sp013177695	s__Paraburkholderia solitsugae
s__Paraburkholderia sp013177735	s__Paraburkholderia elongata
s__Paraburkholderia sp013366925	s__Paraburkholderia youngii
s__Paraburkholderia sp014397785	s__Paraburkholderia podalyriae
s__Parasutterella sp000980495	s__Parasutterella gallistercoris
s__Paucimonas sp003590835	s__Paucimonas sedimenti
s__Pelistega sp009833965	s__Pelistega ratti
s__Polyangium_A brachysporum	s__Polyangium_A brevitalea
s__Polynucleobacter asymbioticus_A	s__Polynucleobacter arcticus
s__Polynucleobacter sp002797575	s__Polynucleobacter brandtiae
s__Polynucleobacter sp013307225	s__Polynucleobacter tropicus
s__Polynucleobacter sp013307245	s__Polynucleobacter antarcticus
s__Polynucleobacter sp900176405	s__Polynucleobacter kasalickyi
s__Polynucleobacter sp903876105	s__Polynucleobacter sp001889925
s__Polynucleobacter sp903953215	s__Polynucleobacter finlandensis
s__Pseudoduganella haloabium	s__Pseudoduganella haloabia
s__Pseudoduganella sp009674485	s__Pseudoduganella rivuli
s__Pusillimonas_A sp014237865	s__Pusillimonas_A minor
s__Pusillimonas_C sp004022565	s__Pusillimonas_D thiosulfatoxidans
g__QOAZ01	g__Calidifontimicrobium
s__QOAZ01 sp003574675	s__Calidifontimicrobium sediminis
s__RFXW01 lacus_A	s__RFXW01 sp009921245
s__Ralstonia solanacearum_A	s__Ralstonia syzygii
s__Ramlibacter sp004028785	s__Ramlibacter aquaticus
s__Ramlibacter sp004681975	s__Ramlibacter humi
s__Ramlibacter sp012927085	s__Ramlibacter agri
s__Ramlibacter sp013155545	s__Ramlibacter soli
s__Ramlibacter sp013778345	s__Ramlibacter pinisoli
s__Rhizobacter soli	s__Albitalea terrae
s__Rhizobacter sp001263235	s__LMDS01 sp001263235
s__Rhizobacter sp001425865	s__LMDS01 sp001425865
s__Rhizobacter sp001464195	s__PBB1 sp001464195
s__Rhizobacter sp002255905	s__PBB1 sp002255905
s__Rhizobacter sp002281415	s__PBB1 sp002281415
s__Rhizobacter sp003152055	s__Schlegelella_A sp003152055
s__Rhizobacter sp005882155	s__Albitalea sp005882155
s__Rhizobacter sp013366375	s__Schlegelella_A koreensis
s__Rhizobacter sp903830565	s__CAIKUF01 sp903830565
s__Rhizobacter sp903905475	s__PBB1 sp903905475
s__Rhodoferax bucti	s__Rhodoferax_C bucti
s__Rhodoferax mobilis	s__Symbiobacter mobilis
s__Rhodoferax saidenbachensis	s__Rhodoferax_C saidenbachensis
s__Rhodoferax sp001770935	s__Rhodoferax_C sp001770935
s__Rhodoferax sp001795455	s__Rhodoferax_C sp001795455
s__Rhodoferax sp002163715	s__Rhodoferax_C sp002163715
s__Rhodoferax sp002251855	s__Rhodoferax_C sp002251855
s__Rhodoferax sp002256115	s__Rhodoferax_C sp002256115
s__Rhodoferax sp002390825	s__Rhodoferax_C sp002390825
s__Rhodoferax sp002943465	s__Rhodoferax_C sp002943465
s__Rhodoferax sp003415675	s__Rhodoferax_C lacus
s__Rhodoferax sp004293725	s__Rhodoferax_C sp004293725
s__Rhodoferax sp005793295	s__Rhodoferax_C sp005793295
s__Rhodoferax sp006974105	s__Rhodoferax_C aquaticus
s__Rhodoferax sp007279715	s__Rhodoferax_C sp007279715
s__Rhodoferax sp008015235	s__Rhodoferax_C sp008015235
s__Rhodoferax sp009924455	s__Rhodoferax_C sp009924455
s__Rhodoferax sp009925925	s__Rhodoferax_C sp009925925
s__Rhodoferax sp013297935	s__Rhodoferax_C sp013297935
s__Rhodoferax sp903845935	s__Rhodoferax_C sp903845935
s__Rhodoferax sp903853895	s__Rhodoferax_C sp903853895
s__Rhodoferax sp903859265	s__Rhodoferax_C sp903859265
s__Rhodoferax sp903861575	s__Rhodoferax_C sp903861575
s__Rhodoferax sp903863395	s__Rhodoferax_C sp903863395
s__Rhodoferax sp903864505	s__Rhodoferax_C sp903864505
s__Rhodoferax sp903869595	s__Rhodoferax_C sp903869595
s__Rhodoferax sp903870065	s__Rhodoferax_C sp903870065
s__Rhodoferax sp903870955	s__Rhodoferax_C sp903870955
s__Rhodoferax sp903876045	s__Rhodoferax_C sp903876045
s__Rhodoferax sp903886275	s__Rhodoferax_C sp903886275
s__Rhodoferax sp903897925	s__Rhodoferax_C sp903897925
s__Rhodoferax sp903914985	s__Rhodoferax_C sp903914985
s__Rhodoferax sp903924955	s__Rhodoferax_C sp903924955
s__Rhodoferax sp903928325	s__Rhodoferax_C sp903928325
s__Rhodoferax sp903928635	s__Rhodoferax_C sp903928635
s__Rhodoferax sp903944555	s__Rhodoferax_C sp903944555
s__Rhodoferax sp903945325	s__Rhodoferax_C sp903945325
s__Rhodoferax sp903951445	s__Rhodoferax_C sp903951445
s__Rhodoferax sp903954045	s__Rhodoferax_C sp903954045
s__Rhodoferax sp903958915	s__Rhodoferax_C sp903958915
s__Robbsia sp900095735	s__Chitinasiproducens palmae
g__Roseateles_A	g__Mitsuaria
s__Roseateles_A aquatilis	s__Mitsuaria aquatilis
s__Rubrivivax sp004016505	s__Rubrivivax rivuli
g__SC2-9	g__Melaminivora_A
s__SC2-9 sp003008575	s__Melaminivora_A sp003008575
g__SCGC-AAA027-K21	g__Algicoccus
s__SCGC-AAA027-K21 sp002422175	s__Algicoccus sp002422175
s__SCGC-AAA027-K21 sp003058465	s__Algicoccus marinus
s__SCGC-AAA027-K21 sp007116135	s__Algicoccus sp007116135
g__SCN-69-89	g__Zeimonas
s__SCN-69-89 sp001724315	s__Zeimonas sp001724315
s__SCN-69-89 sp001724855	s__Zeimonas sp001724855
s__SCN-69-89 sp001898645	s__Zeimonas sp001898645
s__SCN-69-89 sp003576795	s__Zeimonas sp003576795
s__SCN-69-89 sp003577305	s__Zeimonas sp003577305
s__SCN-69-89 sp008039575	s__Zeimonas arvi
s__SCN-69-89 sp012513825	s__Zeimonas sp012513825
g__SJAQ100	g__Aquariibacter
s__SJAQ100 sp014145335	s__Aquariibacter albus
g__Serpentinomonas	g__Serpentinimonas
s__Serpentinomonas mccroryi	s__Serpentinimonas maccroryi
s__Serpentinomonas raichei	s__Serpentinimonas raichei
s__Serpentinomonas sp000696225	s__Serpentinimonas barnesii
s__Solimicrobium aquatica	s__Solimicrobium aquaticum
g__Sphaerotilus_A	g__Sphaerotilus
s__Sphaerotilus_A hippei	s__Sphaerotilus hippei
s__Sutterella sp900543805	s__Sutterella merdavium
s__Trinickia sp003367175	s__Trinickia dinghuensis
s__Trinickia sp003390925	s__Trinickia diaoshuihuensis
s__Trinickia sp003628145	s__Trinickia fusca
g__UBA2121	g__Diaphorobacter_A
s__UBA2121 sp002331385	s__Diaphorobacter_A sp002331385
s__Undibacterium sp010078235	s__Undibacterium crateris
